P,T
-55.45892103,77.03
-56.10165264,77.135
-56.91890426,77.241
-56.83545975,77.346
-56.23325592,77.452
-56.23069844,77.557
-58.20386804,77.662
-56.57737846,77.768
-55.11222593,77.873
-56.31928807,77.978
-54.89460273,78.083
-56.1851274,78.188
-56.82772671,78.294
-55.49940884,78.399
-55.19322267,78.504
-55.45638953,78.61
-55.0261825,78.715
-55.67402227,78.821
-55.28683548,78.926
-55.53989351,79.031
-55.97005576,79.137
-56.62039264,79.242
-56.7898706,79.348
-56.91632369,79.453
-57.04535075,79.558
-55.06920434,79.664
-55.36529292,79.769
-55.7145016,79.875
-56.79244683,79.98
-57.0909456,80.085
-55.45638953,80.191
-56.44576971,80.296
-56.95933296,80.401
-56.91632369,80.507
-56.74685887,80.612
-56.95933296,80.718
-55.45892103,80.823
-57.00492543,80.928
-57.7764611,81.034
-55.92704067,81.139
-57.7764611,81.245
-57.69045191,81.35
-57.47282518,81.455
-57.81685445,81.561
-57.47802383,81.666
-57.34640503,81.772
-55.53735913,81.877
-57.38681534,81.982
-56.78471812,82.088
-57.30339804,82.193
-57.60704536,82.299
-57.81946532,82.404
-55.45385803,82.509
-55.75497779,82.615
-55.7145016,82.72
-55.92449329,82.825
-55.62339071,82.931
-57.0909456,83.036
-57.43241827,83.142
-57.51582973,83.247
-57.38681534,83.352
-57.73345663,83.458
-57.47802383,83.563
-57.94586125,83.669
-57.86246928,83.774
-56.74428408,83.879
-57.04276586,83.985
-56.95675096,84.09
-55.8814794,84.196
-57.21738329,84.301
-57.73345663,84.406
-56.23069844,84.512
-56.48878321,84.617
-54.89460273,84.722
-55.8814794,84.827
-57.64223674,84.932
-56.87073505,85.038
-57.98886302,85.143
-56.99975853,85.248
-58.16086754,85.354
-59.14981509,85.459
-54.84907003,85.565
-57.04535075,85.67
-58.03186453,85.775
-57.04535075,85.881
-57.94586125,85.986
-58.46186573,86.092
-58.12310872,86.197
-57.34381004,86.302
-59.36744881,86.408
-58.33286802,86.513
-57.47282518,86.619
-57.56143623,86.724
-58.25211887,86.829
-57.95109164,86.935
-57.73606461,87.04
-56.65826275,87.145
-58.20911574,87.251
-58.38112675,87.356
-57.73606461,87.462
-57.95370684,87.567
-58.29249502,87.672
-58.55049833,87.778
